,new_line,line,month,day,protest,march.demonstration,strike,occupation,blockade,hunger.strike,location,number,police,violence,damage,organization,text
9,37,45,0,0,1,1,0,0,0,0,"San Francisco de Quito, Pichincha",200+,0,0,0,"Confederaci—n de Nacionalidades Ind’genas del Ecuador (CONAIE), Federaci—n Nacional de Organizaciones Campesinas, Ind’genas y Negras (FENOCIN)","La ConfederaciÃ_n de Nacionalidades IndÃ_genas del Ecuador (CONAIE), la FENOCIN y la OrganizaciÃ_n Nacional de IndÃ_genas de Colombia, entre otros, realizan en el teatro de la Universidad PolitÃ©cnica Salesiana de Quito, el Encuentro continental de pueblos campesinos opuestos al ALCA, donde participan mÃ¡s de 200 personas de AmÃ©rica Latina, Italia y EspaÃ±a. En este contexto, jÃ_venes de colectivos anarquistas, marxistas, ecologistas y antimilitaristas se bajan los pantalones frente al Swisshotel, donde se realizarÃ¡ la reuniÃ_n de Ministros de Comercio Exterior de la regiÃ_n."
3,41,49,0,0,1,1,0,0,0,0,"San Francisco de Quito, Pichincha",1500~,0,0,0,Confederaci—n de Afiliados al Seguro Campesino de Ecuador,"Alrededor de 1.500 indÃ_genas, integrantes algunos de ellos de la ConfederaciÃ_n de Afiliados al Seguro Campesino de Ecuador y otros activistas anti ALCA del paÃ_s y de otras naciones latinoamericanas, se concentran en el parque el Arbolito y toman simbÃ_licamente la ciudad de Quito en rechazo al ALCA. Estudiantes universitarios apoyan la protesta realizando marchas por la ciudad. Frente a un Mc DonaldÂ´s mujeres protestan acordonando Jueves 31"
5,43,56,0,0,1,1,0,0,0,0,"San Francisco de Quito, Pichincha",,0,0,0,"Confederaci—n de Nacionalidades Ind’genas del Ecuador (CONAIE), Federaci—n Nacional de Organizaciones Campesinas, Ind’genas y Negras (FENOCIN), Acci—n Ecol—gica","CONAIE, FENOCIN, organizaciones de derechos humanos, negros, mujeres, estudiantes, gremios profesionales y acadÃ©micos, integrantes de AcciÃ_n EcolÃ_gica y sindicatos, entre otras organizaciones sociales provenientes de Argentina, Bolivia, Colombia, Estados Unidos, MÃ©xico, PerÃº, Cuba y Suiza entre otros paÃ_ses, ingresan a Quito por el norte y el sur y marchan hasta el parque el Arbolito donde un millar de personas esperan desde ayer para protestar contra el ALCA. Los manifestantes se movilizan por las calles de la ciudad e intentan ingresar al Hotel Marriot y luego al Swisshotel, donde se realizarÃ¡ el encuentro de Ministros de Comercio Exterior. Son reprimidos por la policÃ_a, con un saldo de varios heridos y detenidos. "
20,44,58,1,0,0,0,0,0,0,0,,,0,0,0,,Noviembre Viernes 8
16,46,62,0,0,1,0,1,0,0,0,Provincia de Guayas,700,0,0,0,Trabajadores Administrativos de la Refiner’a de Esmeraldas,"Los 700 trabajadores administrativos de la RefinerÃ_a de Esmeraldas y los de La Libertad, en Guayas, comienzan un paro indefinido en demanda de que las autoridades acaten la resoluciÃ_n del Tribunal Constitucional (TC) que establece el pago de horas extra sobre 160 horas trabajadas y no sobre 240 horas, como hace actualmente la patronal. "
19,50,66,0,0,1,0,1,0,0,0,,,0,0,0,,Maestros de escuelas rurales realizan un paro en los 25 Institutos PedagÃ_gicos (IPEDS) del paÃ_s en rechazo a la decisiÃ_n del Ministerio de EducaciÃ_n de suspender el bono de 150 dÃ_lares mensuales para los alumnos que trabajan en el Ã¡rea rural. Estudiantes del Instituto Juan Montalvo toman las instalaciones educativas en apoyo a la medida.
21,54,70,0,0,0,0,0,0,0,0,,,0,0,0,,"Se lleva a cabo la segunda vuelta de las elecciones presidenciales. La fÃ_rmula Lucio GutiÃ©rrez-Alfredo Palacio del partido Sociedad PatriÃ_tica 21 de Enero es la triunfadora con el 54,35% de los votos, ganando en 18 de las 22 provincias del paÃ_s. ÃÅlvaro Noboa del PRIAN obtiene el 45,65%. "
1,55,72,0,0,1,0,0,0,1,0,Provincia de Chimborazo,,0,0,0,Federaci—n de Barrios de Riobamba (FEDEBAR),"Alcaldes de nueve cantones de Chimborazo junto a sus habitantes y la FederaciÃ_n de Barrios de Riobamba (FEDEBAR), entre otros, bloquean los accesos a la provincia y comienzan un paro en protesta por la indiferencia del gobierno frente a la explosiÃ_n de un arsenal militar en la Brigada Blindada GalÃ¡pagos, la semana pasada. Demandan que el Tribunal Supremo Electoral (TSE) suspenda las elecciones en la provincia y el envÃ_o de ayuda inmediata. El TSE sÃ_lo suspende las elecciones en Riobamba. Los damnificados realizan una marcha hasta el TSE y ocupan las instalaciones para exigir la renuncia de las autoridades. El presidente del Tribunal Provincial Electoral, el alcalde y algunos vocales dimiten en horas de la tarde."
2,59,80,0,0,1,0,0,0,1,0,"San Pedro de Riobamba, Chimborazo",1000~,0,0,0,Taxistas,Alrededor de 1.000 taxistas pertenecientes a las 36 cooperativas de Riobamba bloquean con sus vehÃ_culos las principales avenidas del lugar sumÃ¡ndose a las quejas de la poblaciÃ_n por la falta de atenciÃ_n y de recursos del gobierno luego de la explosiÃ_n de la Brigada. El bloqueo termina con una caravana que recorre la ciudad. Los dirigentes barriales levantan el paro al enterarse de que el decreto de emergencia se ha reformado para llevar a cabo un desembolso permanente de recursos que acelerarÃ¡n el proceso de reconstrucciÃ_n de las viviendas afectadas.
14,63,84,0,0,1,0,1,0,0,0,"San Francisco de Quito, Pichincha",,0,0,0,"Uni—n Nacional de Educadores (UNE), Movimiento Popular Democr‡tico (MPD)","La UniÃ_n Nacional de Educadores (UNE) realiza un paro preventivo de 24 hs. en demanda de que el gobierno eleve 100 dÃ_lares el sueldo bÃ¡sico docente, entre otros puntos. Docentes, estudiantes, padres y dirigentes del Movimiento Popular DemocrÃ¡tico (MPD) realizan diferentes protestas en Quito, Cuenca, Guachapala, ManabÃ_ y otras zonas de la regiÃ_n.  "
17,67,88,0,0,1,0,1,0,0,0,,,1,0,0,Empleados de la Direcci—n de Aviaci—n Civil (DAC),Los empleados de la DirecciÃ_n de AviaciÃ_n Civil (DAC) paralizan 40 aeropuertos y pistas de aterrizaje a nivel nacional para exigir indemnizaciÃ_n y estabilidad laboral de 171 empleados que pasarÃ¡n a trabajar a Quiport â€“firma canadiense que desde el 18 de noviembre administra la terminal aÃ©rea. Los vuelos nacionales e internacionales son suspendidos por dos horas. En Quito los trabajadores ocupan el interior de la terminal. En Guayaquil los empleados del aeropuerto SimÃ_n BolÃ_var paralizan sus labores y alrededor de 150 trabajadores civiles bloquean la pista. La policÃ_a desaloja a los manifestantes y se producen nueve detenciones. 
18,71,92,0,0,1,0,1,0,0,0,"San Francisco de Quito, Pichincha",,0,0,0,Trabajadores del Aeropuerto Mariscal Sucre,Los trabajadores del aeropuerto Mariscal Sucre de Quito en paro desde ayer levantan la medida. Son liberados los trabajadores detenidos luego de comprometerse a  no realizar nuevas protestas.
6,73,94,1,0,0,0,0,0,0,0,,,0,0,0,,Diciembre MiÃ©rcoles 4
15,75,101,0,0,1,0,1,0,0,0,,,0,0,0,Autoridades de Imbabura,Las autoridades de Imbabura inician un paro de actividades en demanda de que el gobierno transfiera los 3 millones de dÃ_lares que le adeuda al Municipio de Ibarra para comenzar las obras de alcantarillado. 
